fips,region,type,category,time,rne,ose
00,United States,Total,Total,1996,0.0031569701236627934,0.8111275907193234
00,United States,Sex,Men,1996,0.0037790615533223717,0.7488861096292346
00,United States,Sex,Women,1996,0.002604017736494407,0.8914161131116949
00,United States,Race,White,1996,0.003313777509687453,0.8257584510590699
00,United States,Race,Black,1996,0.0021421160224825886,0.6407702332902053
00,United States,Race,Latino,1996,0.0031569701236627934,0.8111275907193234
00,United States,Race,Asian,1996,0.0029217217835742866,0.8647535306917546
00,United States,Nativity,Native-Born,1996,0.003097676557101158,0.8090876169604613
00,United States,Nativity,Immigrant,1996,0.00360737242247497,0.824434055635334
00,United States,Age,Ages 20-34,1996,0.0028366581609906515,0.783081344367168
00,United States,Age,Ages 35-44,1996,0.0031125914523041074,0.8083231238293459
00,United States,Age,Ages 45-54,1996,0.0036454680565789687,0.8069864645849975
00,United States,Age,Ages 55-64,1996,0.003411021302432334,0.8876849966206191
00,United States,Education,Less than High School,1996,0.0038066092287849284,0.7490450041995064
00,United States,Education,High School Graduate,1996,0.003098478747259919,0.8165112108514231
00,United States,Education,Some College,1996,0.003187470845446046,0.8316702275501949
00,United States,Education,College Graduate,1996,0.0029063742987063914,0.8271991858246268
00,United States,Veteran Status,Veterans,1996,0.003571685748170093,0.771488524030171
00,United States,Veteran Status,Non-Veterans,1996,0.0031019412170712446,0.8159608999625714
00,United States,Total,Total,1997,0.0027944770368079565,0.7953697006753253
00,United States,Sex,Men,1997,0.003555384499347135,0.7443309900851784
00,United States,Sex,Women,1997,0.002114149422733747,0.8721123601767184
00,United States,Race,White,1997,0.0029462128421067373,0.8059149125434449
00,United States,Race,Black,1997,0.0019067749049552867,0.7147102880224916
00,United States,Race,Latino,1997,0.0027944770368079565,0.7953697006753253
00,United States,Race,Asian,1997,0.0022636467362226755,0.7994731356474727
00,United States,Nativity,Native-Born,1997,0.002728381590261931,0.8036105934833886
00,United States,Nativity,Immigrant,1997,0.0032744762008538,0.7455034773925866
00,United States,Age,Ages 20-34,1997,0.0027118780712216857,0.7709042040077446
00,United States,Age,Ages 35-44,1997,0.002714867017047118,0.7743225340776696
00,United States,Age,Ages 45-54,1997,0.0028362720268091716,0.7968606185679843
00,United States,Age,Ages 55-64,1997,0.0031159183597268573,0.8881607770832239
00,United States,Education,Less than High School,1997,0.0035254931202619256,0.7529108490504524
00,United States,Education,High School Graduate,1997,0.002684841524725654,0.7720989050360528
00,United States,Education,Some College,1997,0.002871127944817024,0.8137605283463003
00,United States,Education,College Graduate,1997,0.0025408450022966697,0.8336721476890838
00,United States,Veteran Status,Veterans,1997,0.003183123276713096,0.728186444492413
00,United States,Veteran Status,Non-Veterans,1997,0.002746086641251127,0.8033409394677513
00,United States,Total,Total,1998,0.0028654709263254145,0.808415285662937
00,United States,Sex,Men,1998,0.0032494143711158914,0.7687732022448254
00,United States,Sex,Women,1998,0.0025219366331426913,0.8541167628202424
00,United States,Race,White,1998,0.00302276880191191,0.820009726025873
00,United States,Race,Black,1998,0.0018308145825224474,0.6594214249314895
00,United States,Race,Latino,1998,0.0028654709263254145,0.808415285662937
00,United States,Race,Asian,1998,0.0025497948308695617,0.883860558223367
00,United States,Nativity,Native-Born,1998,0.002826491217353909,0.8092741493972614
00,United States,Nativity,Immigrant,1998,0.0031385834377508255,0.8029960101581295
00,United States,Age,Ages 20-34,1998,0.002564273713108713,0.7793197324224049
00,United States,Age,Ages 35-44,1998,0.003054231874437185,0.8046103393448827
00,United States,Age,Ages 45-54,1998,0.002842784369020857,0.8287710464301475
00,United States,Age,Ages 55-64,1998,0.003304405390555526,0.8471323466502907
00,United States,Education,Less than High School,1998,0.003094365849499459,0.7115497983575253
00,United States,Education,High School Graduate,1998,0.0029017331718275037,0.8293170477739076
00,United States,Education,Some College,1998,0.002870259165644945,0.7940712244267965
00,United States,Education,College Graduate,1998,0.002731013165769008,0.840707892967692
00,United States,Veteran Status,Veterans,1998,0.00265737539920015,0.8256788172585475
00,United States,Veteran Status,Non-Veterans,1998,0.0028930161438204425,0.8056839913393322
00,United States,Total,Total,1999,0.0026894520268048207,0.839230236056743
00,United States,Sex,Men,1999,0.003191710381118607,0.796813519912964
00,United States,Sex,Women,1999,0.0022423327197053605,0.8929775443326908
00,United States,Race,White,1999,0.0028169696014473306,0.8473605620047228
00,United States,Race,Black,1999,0.0020622550154935156,0.7909722444876675
00,United States,Race,Latino,1999,0.0026865245655664227,0.8389944336723504
00,United States,Race,Asian,1999,0.00239831900743801,0.800901383628848
00,United States,Nativity,Native-Born,1999,0.0026109233242669993,0.8473753912529283
00,United States,Nativity,Immigrant,1999,0.0032327390630150794,0.7937184634734175
00,United States,Age,Ages 20-34,1999,0.0025605168132888803,0.819862198651937
00,United States,Age,Ages 35-44,1999,0.0027216768275975553,0.848047102986636
00,United States,Age,Ages 45-54,1999,0.0027574716113232135,0.8041490696913621
00,United States,Age,Ages 55-64,1999,0.002840888564709954,0.9173394481348933
00,United States,Education,Less than High School,1999,0.003124434667566359,0.7490774887841898
00,United States,Education,High School Graduate,1999,0.0027393555776298864,0.8485130231792903
00,United States,Education,Some College,1999,0.0026629351762322106,0.8503854554098853
00,United States,Education,College Graduate,1999,0.00248780795778005,0.8661797624383588
00,United States,Veteran Status,Veterans,1999,0.0029952126932484315,0.8997328177524203
00,United States,Veteran Status,Non-Veterans,1999,0.0026486434275960367,0.8300050991112307
00,United States,Total,Total,2000,0.0027134867452930428,0.864330384239142
00,United States,Sex,Men,2000,0.003405046232371952,0.8132920930083252
00,United States,Sex,Women,2000,0.002097258195455277,0.9381683137757115
00,United States,Race,White,2000,0.00279379484968859,0.8662793371303211
00,United States,Race,Black,2000,0.0023204819085274634,0.8290219702654157
00,United States,Race,Latino,2000,0.0027134917787556005,0.864330384239142
